Name,Nummer
"Röschenz, Kohlrütti",8511264
"Belfaux-Village, gare",8505235
"Silvaplana, Alp Güglia",8505250
"Malvaglia, Rongie",8505253
"Thalwil, Feldstrasse",8573164
"Beckenried, Boden",8572947
"Oberuzwil, Post",8506576
"Gelterfingen, Dorf",8507986
Kleine Scheidegg (Arven),8530327
"Vaugondry, bif.",8570266
"Aristau, Birri",8502565
"Brittnau-Wikon, Bahnhof",8572727
"Valeyres-sous-Rances, rest.",8570244
"Goldau, Waage",8589871
"Schlieren, Bahnhof Nord",8590787
"Thalwil, Aegertli",8590811
"Arbon, Landquartstrasse",8580870
"Tübach, Waldegg",8580865
"Auenstein, Wiweg",8580899
"Uster, Sonnenberg",8580877
"Mastrils, Rösliplatz",8580952
"Mastrils, Birke",8580953
Kerzers West (Abzw),8518338
"Siviriez, village",8504899
"Crans-Montana, télé Arnouva",8594712
"Neftenbach, Tössallmend",8573678
Adelboden Bergläger (Silleren),8530310
"Grossdietwil, Sandgruebe",8572775
"Thayngen, Hüttenleben",8573494
"Fehraltorf, Bahnhof",8573507
"Schaffhausen, Heuberg",8573462
"Hirzel, Strickler",8573561
"Weisslingen, Widum",8573535
"Hittnau, Luppmen",8573543
"Zürich, Ausserdorfstrasse",8591048
"Zürich, Klusplatz",8591233
"Zürich, Letzipark",8591253
"Zürich, Orionstrasse",8591297
"Zürich, Nordheimstrasse",8591290
"Zürich, Guggachstrasse",8591168
"Schänis, Mühlegasse",8573868
"Obstalden, Walenguflen",8573895
"Mühlehorn, Hohrain",8573898
"Ardon, Arnica",8573907
Poschiavo,8509361
"Rudolfstetten, Bahnhof",8511435
"Zielebach, Gemeindehaus",8591787
"Gockhausen, Dorf",8591831
"Mathod, Moulin de Mathod",8570242
"Grubenwald, Cholplatz",8594785
"Aranno, Flora",8575391
"Urnäsch, Bahnhof",8574047
"Pailly, Le Rembloz",8570305
"Provence, La Grangette",8570285
"Provence, Vuissens",8570272
"Vugelles, croisée",8570262
Kalchrain,8506720
"Lonay, Gracieuse",8592252
"Savigny, Publoz",8592233
"Oberried am B., Gmeindshuus",8510545
"Cuarny, église",8570321
"Hermenches, Moille-Robert",8570344
Sauges-près-Saint-Aubin,8570327
"Essert-sous-Champvent, village",8570334
"Haslen AI, Hüsli",8574063
"Buchs SG, Rathaus",8574040
"Neuchâtel-Serrières, Maillefer",8511339
Lavorgo,8505205
"Wangen SZ, Gätzibach",8574431
"Bremgarten BE, Friedhagweg",8589021
"Degen, vitg",8509696
"Stansstad, Sommerweid",8572930
"Mettmenstetten, Bahnhof",8573181
"Rifferswil, Unterrifferswil",8573171
Alp Camp,8574813
"Dietlikon, Fuchshalde",8595073
Pont du Rhône,8530366
Stauberen,8530810
"Tarasp, Florins",8574783
"Koppigen, Neues Schulhaus",8593260
"Sumiswald, Gammenthal",8593272
"Oberburg, Brunnmattstrasse",8593268
Bois-de-Chexbres,8530261
"Bernina Suot, Bahnhof",8574979
"Degen, Rumein",8575026
"S. Vittore, Zona industriale",8575228
Ascona (lago),8505573
"Kreuzlingen, Sonnenwiesenstr.",8595084
St. Jakob (Isenthal),8530758
Weisshorn,8509162
Bougnone (Col de Forcle),8531369
"Vérossaz, La Doey place",8570663
Untersax,8515160
"Litzirüti, Bahnhof",8511387
"Meiringen, Kirchgemeindehaus",8581374
"Delémont, Cras-des-Fourches",8581137
Yvonand,8504130
Les Têtes,8530069
"Kreuzlingen, Kolosseumplatz",8573402
"Rorbas, Dorfplatz",8573219
"Ottenbach, Rickenbach",8573194
"Brontallo, Bivio",8575863
"Epalinges, Giziaux",8593821
"Epalinges, Sylvana",8593827
"Belmont-sur-Lausanne, Arnier",8593796
"Bulle, St-Joseph",8506324
"Schüpbach, Dorf",8508988
"Soral, douane",8510608
"Gimel, Le Signal",8570021
"Erlinsbach, Stüsslingerstrasse",8578006
"Kloten, Schulstrasse",8590698
"Bassecourt, EFEJ",8505030
"Seelisberg, Geissweg",8572954
"Massagno, Praccio",8575311
"Montsevelier, poste",8500663
"Grindelwald, Stählisboden",8585163
"Zwillikon, Fehrenbach",8573193
"Bachs, Milchhütte",8573269
"Bülach, Hinterbirch",8573255
"Steinmaur, Heitlig",8573272
"Niederhasli, Dorf",8573264
"Bülach, Niederflachs",8573259
"Warth, Kreuz",8573300
"Wädenswil, Mugern",8573583
"Wil SG, Rose",8573603
"Zweilütschinen, Bahnhof",8582719
"Vasön, Dorf",8509457
"Goldingen, Unterdorf",8573591
"Wädenswil, Beichlen",8573569
Weil am Rhein Landesgrenze,8519315
"Wiesendangen, Gemeindehaus",8576232
"Grenchen, Monbijou",8577944
"Schönenberg ZH, Zweierhof",8573568
"Wil SG, Bahnhof",8573602
"Goldingen, Baumgarten",8573589
"Sangernboden, Steinbachbrücke",8577881
"Seon, Unterdorf",8578704
Landquart Güterverkehr,8510045
"Prangins, Sadex",8588671
"Rümlang, Heuelstrasse",8595709
"Lugano, Via Balestra",8594225
"Uster, Apothekerstrasse",8581539
"Winterthur, Eidberg",8573666
"Bidogno, Bivio per Somazzo",8575431
"Turbenthal, Tablat",8573637
"Zell ZH, Hand",8573670
"Turbenthal, Girenbad",8573672
"Feuerthalen, Stumpenboden",8573449
"Benken SG, Neubruch",8573881
"Niederuzwil, Marienfried",8573931
"Oeschgen, Brückenwaage",8581529
"Dägerlen, Oberwil",8581536
"Staad SG, Bahnhof",8581531
"Oberbipp, Eintracht",8591770
"Menzingen, Weid",8577543
"Bichwil, Torackerstrasse",8573940
"Oberwil BL, Rohrhagstrasse",8594162
"Montreux, avenue Nestlé",8593920
"Scairolo, Bivio",8575271
